Parameters: numNests = 50 Pa = 0.25 Pc = 0.6 maxGenerations: 20000 stopCriterion = 20000
Dataset: A-n63-k10, Run time: 224.77, Best Solution Cost: 1543.7342721011396, Optimal Value: 1315 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 63, 63
Dataset: A-n63-k10, Run time: 222.12, Best Solution Cost: 1547.0052703050444, Optimal Value: 1315 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 63, 63
Dataset: A-n63-k10, Run time: 221.20, Best Solution Cost: 1691.4048537087542, Optimal Value: 1315 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 63, 63


Dataset: A-n63-k9, Run time: 226.94, Best Solution Cost: 1814.7096276491284, Optimal Value: 1634 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 63, 63
Dataset: A-n63-k9, Run time: 224.30, Best Solution Cost: 1808.88987327793, Optimal Value: 1634 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 63, 63
Dataset: A-n63-k9, Run time: 224.28, Best Solution Cost: 1897.2281182442384, Optimal Value: 1634 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 63, 63
Dataset: A-n63-k9, Run time: 227.64, Best Solution Cost: 1836.5484444001877, Optimal Value: 1634 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 63, 63
Dataset: A-n63-k9, Run time: 224.77, Best Solution Cost: 1830.8215373955586, Optimal Value: 1634 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 63, 63


Dataset: A-n64-k9, Run time: 212.92, Best Solution Cost: 1610.9200105629989, Optimal Value: 1402 routesGen(gen, min) = 9, 9 numNodes(gen, req) = 64, 64
Dataset: A-n64-k9, Run time: 220.06, Best Solution Cost: 1630.2352786822867, Optimal Value: 1402 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 64, 64
Dataset: A-n64-k9, Run time: 227.71, Best Solution Cost: 1535.4584898372375, Optimal Value: 1402 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 64, 64
Dataset: A-n64-k9, Run time: 219.42, Best Solution Cost: 1610.8987870326016, Optimal Value: 1402 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 64, 64
Dataset: A-n64-k9, Run time: 226.78, Best Solution Cost: 1589.8764442402623, Optimal Value: 1402 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 64, 64


Dataset: A-n65-k9, Run time: 228.57, Best Solution Cost: 1497.4861597934325, Optimal Value: 1177 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 65, 65
Dataset: A-n65-k9, Run time: 226.19, Best Solution Cost: 1419.1752333988268, Optimal Value: 1177 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 65, 65
Dataset: A-n65-k9, Run time: 225.70, Best Solution Cost: 1388.7985897923663, Optimal Value: 1177 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 65, 65
Dataset: A-n65-k9, Run time: 229.03, Best Solution Cost: 1465.146721544026, Optimal Value: 1177 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 65, 65
Dataset: A-n65-k9, Run time: 225.37, Best Solution Cost: 1535.6119342878492, Optimal Value: 1177 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 65, 65


Dataset: A-n69-k9, Run time: 230.65, Best Solution Cost: 1315.3786968572529, Optimal Value: 1168 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 69, 69
Dataset: A-n69-k9, Run time: 232.05, Best Solution Cost: 1320.8813347847424, Optimal Value: 1168 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 69, 69
