,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
91,A-n55-k9,1073,"2-opt, shift-1, swap-2-2",1169.24,1280.67,69.56,3.42,"swap-1-1, shift-1, swap-2-2",1147.50,1244.19,52.52,3.12,0.05
92,A-n60-k9,1408,"2-opt, shift-1, swap-2-2",1489.29,1572.98,43.90,3.47,"swap-1-1, shift-1, swap-2-2",1460.31,1577.19,43.12,3.15,0.54
93,A-n61-k9,1035,"2-opt, shift-1, swap-2-2",1160.32,1237.57,43.19,3.59,"swap-1-1, shift-1, swap-2-2",1147.55,1235.13,41.11,3.35,0.93
94,A-n62-k8,1290,"2-opt, shift-1, swap-2-2",1471.03,1555.96,50.39,3.31,"swap-1-1, shift-1, swap-2-2",1477.67,1556.07,51.27,3.00,0.78
95,A-n63-k10,1315,"2-opt, shift-1, swap-2-2",1427.28,1547.86,59.53,3.71,"swap-1-1, shift-1, swap-2-2",1442.92,1540.47,56.09,3.36,0.61
96,A-n63-k9,1634,"2-opt, shift-1, swap-2-2",1836.87,1950.49,88.92,3.55,"swap-1-1, shift-1, swap-2-2",1796.26,1895.32,50.77,3.29,0.00
97,A-n64-k9,1402,"2-opt, shift-1, swap-2-2",1614.68,1688.14,52.39,3.51,"swap-1-1, shift-1, swap-2-2",1577.92,1689.96,48.61,3.23,0.57
98,A-n65-k9,1177,"2-opt, shift-1, swap-2-2",1348.86,1439.08,55.80,3.69,"swap-1-1, shift-1, swap-2-2",1347.53,1443.83,51.81,3.37,0.80
99,A-n69-k9,1168,"2-opt, shift-1, swap-2-2",1359.18,1427.01,45.64,3.65,"swap-1-1, shift-1, swap-2-2",1356.77,1443.80,46.64,3.30,0.10
100,A-n80-k10,1764,"2-opt, shift-1, swap-2-2",2039.15,2171.02,62.37,3.91,"swap-1-1, shift-1, swap-2-2",2050.60,2171.18,63.45,3.58,0.89
101,B-n31-k5,672,"2-opt, shift-1, swap-2-2",690.42,711.47,24.85,2.42,"swap-1-1, shift-1, swap-2-2",686.44,713.12,29.76,2.18,0.98
102,B-n34-k5,788,"2-opt, shift-1, swap-2-2",802.32,848.08,28.19,2.38,"swap-1-1, shift-1, swap-2-2",802.17,845.36,38.14,2.13,0.56
103,B-n35-k5,955,"2-opt, shift-1, swap-2-2",986.52,1033.46,33.92,2.42,"swap-1-1, shift-1, swap-2-2",990.39,1021.06,18.76,2.20,0.47
104,B-n38-k6,805,"2-opt, shift-1, swap-2-2",836.21,866.58,21.92,2.65,"swap-1-1, shift-1, swap-2-2",819.36,856.97,28.20,2.40,0.02
105,B-n39-k5,549,"2-opt, shift-1, swap-2-2",578.50,627.95,40.63,2.51,"swap-1-1, shift-1, swap-2-2",576.19,656.65,56.89,2.27,0.04
106,B-n41-k6,829,"2-opt, shift-1, swap-2-2",889.24,1013.94,103.01,2.68,"swap-1-1, shift-1, swap-2-2",865.63,949.93,48.07,2.45,0.01
107,B-n43-k6,742,"2-opt, shift-1, swap-2-2",785.44,830.07,35.96,2.73,"swap-1-1, shift-1, swap-2-2",779.37,834.99,38.23,2.49,0.47
108,B-n44-k7,909,"2-opt, shift-1, swap-2-2",965.81,1045.74,41.10,2.85,"swap-1-1, shift-1, swap-2-2",950.55,1019.33,38.53,2.59,0.02
109,B-n45-k5,751,"2-opt, shift-1, swap-2-2",783.44,864.65,79.34,2.72,"swap-1-1, shift-1, swap-2-2",793.95,886.42,49.25,2.48,0.08
110,B-n45-k6,678,"2-opt, shift-1, swap-2-2",744.44,774.09,32.11,2.89,"swap-1-1, shift-1, swap-2-2",729.22,790.33,35.26,2.67,0.03
111,B-n50-k7,741,"2-opt, shift-1, swap-2-2",788.15,835.62,41.02,2.95,"swap-1-1, shift-1, swap-2-2",780.77,881.12,44.16,2.71,0.00
112,B-n50-k8,1313,"2-opt, shift-1, swap-2-2",1374.88,1444.63,37.06,3.08,"swap-1-1, shift-1, swap-2-2",1350.05,1392.50,30.62,2.84,0.00
113,B-n51-k7,1032,"2-opt, shift-1, swap-2-2",1056.45,1173.06,149.82,3.10,"swap-1-1, shift-1, swap-2-2",1067.18,1174.84,66.88,2.90,0.11
114,B-n52-k7,747,"2-opt, shift-1, swap-2-2",790.65,844.67,35.58,3.02,"swap-1-1, shift-1, swap-2-2",784.02,894.64,66.41,2.77,0.00
115,B-n56-k7,707,"2-opt, shift-1, swap-2-2",777.29,825.66,43.29,3.05,"swap-1-1, shift-1, swap-2-2",771.58,844.21,55.73,2.82,0.21
116,B-n57-k7,1153,"2-opt, shift-1, swap-2-2",1175.34,1281.67,63.91,3.20,"swap-1-1, shift-1, swap-2-2",1191.82,1346.85,89.44,2.98,0.00
117,B-n57-k9,1598,"2-opt, shift-1, swap-2-2",1694.00,1758.95,45.12,3.34,"swap-1-1, shift-1, swap-2-2",1689.12,1749.13,34.07,3.10,0.56
118,B-n63-k10,1537,"2-opt, shift-1, swap-2-2",1651.33,1737.30,46.41,3.61,"swap-1-1, shift-1, swap-2-2",1651.78,1737.60,51.62,3.40,0.61
119,B-n64-k9,861,"2-opt, shift-1, swap-2-2",956.15,1015.18,43.58,3.57,"swap-1-1, shift-1, swap-2-2",937.76,1028.38,45.91,3.37,0.39
120,B-n66-k9,1374,"2-opt, shift-1, swap-2-2",1396.42,1541.16,71.36,3.54,"swap-1-1, shift-1, swap-2-2",1417.53,1555.60,61.11,3.34,0.40
121,B-n67-k10,1033,"2-opt, shift-1, swap-2-2",1159.30,1231.99,49.89,3.62,"swap-1-1, shift-1, swap-2-2",1161.77,1229.25,54.13,3.41,0.73
122,B-n68-k9,1304,"2-opt, shift-1, swap-2-2",1408.50,1493.22,52.90,3.51,"swap-1-1, shift-1, swap-2-2",1392.19,1489.20,46.10,3.30,0.96
123,B-n78-k10,1266,"2-opt, shift-1, swap-2-2",1381.32,1493.91,59.83,3.81,"swap-1-1, shift-1, swap-2-2",1428.06,1518.40,54.38,3.62,0.14
124,P-n101-k4,681,"2-opt, shift-1, swap-2-2",998.22,1065.53,30.17,3.47,"swap-1-1, shift-1, swap-2-2",1068.02,1180.85,52.55,3.29,0.00
125,P-n16-k8,435,"2-opt, shift-1, swap-2-2",451.34,459.88,7.21,2.23,"swap-1-1, shift-1, swap-2-2",451.34,455.31,5.32,2.21,0.01
126,P-n19-k2,212,"2-opt, shift-1, swap-2-2",220.64,304.85,32.28,1.43,"swap-1-1, shift-1, swap-2-2",245.39,280.94,20.67,1.46,0.01
127, P-n20-k2,220,"2-opt, shift-1, swap-2-2",255.21,319.65,24.68,1.44,"swap-1-1, shift-1, swap-2-2",258.66,292.25,20.36,1.47,0.00
128,P-n21-k2,211,"2-opt, shift-1, swap-2-2",232.56,268.78,18.32,1.51,"swap-1-1, shift-1, swap-2-2",221.44,255.56,20.62,1.61,0.02
129,P-n22-k2,216,"2-opt, shift-1, swap-2-2",280.08,326.28,25.32,1.48,"swap-1-1, shift-1, swap-2-2",256.62,286.08,18.04,1.55,0.00
130,P-n22-k8,603,"2-opt, shift-1, swap-2-2",594.88,617.90,19.57,2.54,"swap-1-1, shift-1, swap-2-2",588.79,608.20,18.75,2.48,0.05
131,P-n23-k8,554,"2-opt, shift-1, swap-2-2",537.94,561.73,14.21,2.62,"swap-1-1, shift-1, swap-2-2",536.34,548.86,11.52,2.51,0.00
132,P-n40-k5.vrp,458,"2-opt, shift-1, swap-2-2",476.65,533.64,24.52,2.46,"swap-1-1, shift-1, swap-2-2",482.33,540.23,29.47,2.30,0.17
