,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
59,P-n45-k5,784,"2-opt, shift-1, swap-2-2",567.622129,614.9256609,26.01668594,2.504333333,"swap-2-1, shift-1, swap-2-2",569.5239924,608.1554945,22.61019542,2.296,0.245190309
60,P-n50-k10,784,"2-opt, shift-1, swap-2-2",748.5960881,800.2116549,36.66857808,3.428,"swap-2-1, shift-1, swap-2-2",765.0721227,797.5201843,23.71148695,3.175,0.909930768
61, P-n50-k7,784,"2-opt, shift-1, swap-2-2",594.1585494,641.5344267,23.30574995,2.883333333,"swap-2-1, shift-1, swap-2-2",606.6869325,646.3335773,28.50658188,2.676666667,0.813016851
62,P-n50-k8,784,"2-opt, shift-1, swap-2-2",672.1350322,712.6208593,20.69365239,3.262666667,"swap-2-1, shift-1, swap-2-2",656.7290735,714.4317081,24.29016301,2.952333333,0.877402728
63,P-n51-k10,784,"2-opt, shift-1, swap-2-2",801.3762171,847.2306238,30.96427794,3.568666667,"swap-2-1, shift-1, swap-2-2",803.881643,840.9659998,22.89014101,3.252,0.370935308
64,P-n55-k10,784,"2-opt, shift-1, swap-2-2",753.452388,788.2400327,17.69244436,3.493333333,"swap-2-1, shift-1, swap-2-2",750.8586779,783.8524622,18.34644274,3.165,0.452806505
65,P-n55-k15,784,"2-opt, shift-1, swap-2-2",996.0768689,1064.51116,31.72952868,4.522666667,"swap-2-1, shift-1, swap-2-2",1005.389812,1044.601758,25.28518274,4.125666667,0.047161747
66,P-n55-k7,784,"2-opt, shift-1, swap-2-2",605.3350525,656.4192283,25.94124455,3.066,"swap-2-1, shift-1, swap-2-2",612.8719594,663.2944936,24.90731333,2.771,0.452806505
67,P-n55-k8,784,"2-opt, shift-1, swap-2-2",631.705279,691.6464309,35.64134374,3.038333333,"swap-2-1, shift-1, swap-2-2",638.2695332,685.8589551,27.52428519,2.706,0.503832969
68,P-n60-k10,784,"2-opt, shift-1, swap-2-2",809.834302,890.4749487,39.54614394,3.650333333,"swap-2-1, shift-1, swap-2-2",818.9966384,875.4936132,29.05318304,3.328666667,0.141389511
