,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
89,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"swap-2-1, reinsertion, swap-2-2",656.4611962,708.7350037,28.81936645,3.573833333,0.548506236
90,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,0.001284816
91,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,0.077720651
92,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,0.007237495
93,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, double-bridge",1302.471886,1472.63698,103.2928677,2.765209877,5.61E-06
94,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, double-bridge",1135.96307,1294.397176,97.39772687,3.03626087,2.70E-05
95,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, double-bridge",752.3150677,855.8134161,52.09100553,2.701208333,1.82E-05
96,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, shift-1",1150.517142,1237.782767,50.03123599,2.646703704,0.136342613
97,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, shift-1",1025.803873,1094.869417,44.98140029,2.608797101,4.03E-05
98,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, shift-1",654.5036711,709.0002902,32.00178759,2.5755,0.775096962
99,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, or-opt-2, double-bridge",1178.020915,1279.867562,62.49816357,2.47708642,8.80E-06
100,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, or-opt-2, double-bridge",1045.890192,1153.323889,64.81053233,2.522188406,0.028533185
101,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, or-opt-2, double-bridge",661.0741806,716.0751577,31.99553048,2.488125,1.82E-05
102,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, shift-1, double-bridge",1157.84407,1240.498576,52.09615473,3.102938272,0.456407769
103,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, shift-1, double-bridge",1030.090454,1097.603305,45.7508489,3.19373913,6.77E-05
104,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, shift-1, double-bridge",652.5094986,712.1657606,32.9205888,3.124041667,0.587228166
105,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, or-opt-3, double-bridge",1186.26947,1290.434451,59.82560422,2.199333333,7.03E-06
106,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, or-opt-3, double-bridge",1049.5404,1158.069455,67.13255126,2.212956522,0.005644287
107,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, or-opt-3, double-bridge",671.1929343,730.9596683,31.975814,2.183361111,1.82E-05
108,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"2-opt, reinsertion, swap-2-2",1133.228075,1231.252789,54.61421046,2.299839506,0.000376974
109,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"2-opt, reinsertion, swap-2-2",1018.474639,1117.26554,60.17419098,2.340043478,6.77E-05
110,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"2-opt, reinsertion, swap-2-2",637.3794079,687.154339,28.42896995,2.331513889,7.14E-05
111,Set A,1045,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,"swap-2-1, reinsertion, swap-2-2",1157.154458,1262.000242,52.72551678,3.351395062,0.03660209
112,Set B,971,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,"swap-2-1, reinsertion, swap-2-2",1055.839887,1150.116098,56.5293569,3.533028986,0.106963567
113,Set P,576,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,"swap-2-1, reinsertion, swap-2-2",656.4611962,708.7350037,28.81936645,3.573833333,0.179318236
114,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, double-bridge",1302.471886,1472.63698,103.2928677,2.765209877,5.61E-06
115,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, double-bridge",1135.96307,1294.397176,97.39772687,3.03626087,2.70E-05
116,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, double-bridge",752.3150677,855.8134161,52.09100553,2.701208333,1.82E-05
117,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, shift-1",1150.517142,1237.782767,50.03123599,2.646703704,0.000412937
118,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, shift-1",1025.803873,1094.869417,44.98140029,2.608797101,3.09E-05
119,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, shift-1",654.5036711,709.0002902,32.00178759,2.5755,0.375771508
120,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, or-opt-2, double-bridge",1178.020915,1279.867562,62.49816357,2.47708642,2.11E-05
121,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, or-opt-2, double-bridge",1045.890192,1153.323889,64.81053233,2.522188406,0.273543661
122,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, or-opt-2, double-bridge",661.0741806,716.0751577,31.99553048,2.488125,0.097490596
123,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, shift-1, double-bridge",1157.84407,1240.498576,52.09615473,3.102938272,0.001517584
124,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, shift-1, double-bridge",1030.090454,1097.603305,45.7508489,3.19373913,2.70E-05
125,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, shift-1, double-bridge",652.5094986,712.1657606,32.9205888,3.124041667,0.647568368
126,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, or-opt-3, double-bridge",1186.26947,1290.434451,59.82560422,2.199333333,2.11E-05
127,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, or-opt-3, double-bridge",1049.5404,1158.069455,67.13255126,2.212956522,0.120862719
128,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, or-opt-3, double-bridge",671.1929343,730.9596683,31.975814,2.183361111,6.33E-05
129,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"2-opt, reinsertion, swap-2-2",1133.228075,1231.252789,54.61421046,2.299839506,8.80E-06
130,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"2-opt, reinsertion, swap-2-2",1018.474639,1117.26554,60.17419098,2.340043478,4.03E-05
131,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"2-opt, reinsertion, swap-2-2",637.3794079,687.154339,28.42896995,2.331513889,0.000255042
132,Set A,1045,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,"swap-2-1, reinsertion, swap-2-2",1157.154458,1262.000242,52.72551678,3.351395062,0.942542224
133,Set B,971,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,"swap-2-1, reinsertion, swap-2-2",1055.839887,1150.116098,56.5293569,3.533028986,0.903168441
134,Set P,576,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,"swap-2-1, reinsertion, swap-2-2",656.4611962,708.7350037,28.81936645,3.573833333,0.122865441
135,Set A,1045,"2-opt, double-bridge",1302.471886,1472.63698,103.2928677,2.765209877,"2-opt, shift-1",1150.517142,1237.782767,50.03123599,2.646703704,5.61E-06
136,Set B,971,"2-opt, double-bridge",1135.96307,1294.397176,97.39772687,3.03626087,"2-opt, shift-1",1025.803873,1094.869417,44.98140029,2.608797101,2.70E-05
