,fileName,Name,Best Solution Cost,Optimal Value,Run Time
44,results00_crossDoubleBridge_levy6.csv,B-n63-k10,2175.7979857960763,1537,5.98
45,results00_crossDoubleBridge_levy6.csv,B-n64-k9,1446.203550136761,861,5.92
46,results00_crossDoubleBridge_levy6.csv,B-n66-k9,1741.6467979601155,1374,7.61
47,results00_crossDoubleBridge_levy6.csv,B-n67-k10,1739.8318194975197,1033,10.68
48,results00_crossDoubleBridge_levy6.csv,B-n68-k9,2163.386896712694,1304,7.8
49,results00_crossDoubleBridge_levy6.csv,B-n78-k10,2552.672159201675,1266,8.67
50,results00_crossDoubleBridge_levy6.csv,P-n101-k4,1730.1034678204026,681,8.5
51,results00_crossDoubleBridge_levy6.csv,P-n16-k8,481.22101890009316,435,3.58
52,results00_crossDoubleBridge_levy6.csv,P-n19-k2,307.81083257851895,212,0.97
53,results00_crossDoubleBridge_levy6.csv, P-n20-k2,337.5861255856018,220,1.04
54,results00_crossDoubleBridge_levy6.csv,P-n21-k2,335.0696150970768,211,1.0
55,results00_crossDoubleBridge_levy6.csv,P-n22-k2,381.644375364318,216,0.91
56,results00_crossDoubleBridge_levy6.csv,P-n22-k8,714.8758565390232,603,4.37
57,results00_crossDoubleBridge_levy6.csv,P-n23-k8,612.0627612909133,554,4.71
58,results00_crossDoubleBridge_levy6.csv,P-n40-k5.vrp,717.1167736988017,458,4.83
59,results00_crossDoubleBridge_levy6.csv,P-n45-k5,915.7653688231113,510,7.03
60,results00_crossDoubleBridge_levy6.csv,P-n50-k10,1016.9758047633403,696,7.94
61,results00_crossDoubleBridge_levy6.csv, P-n50-k7,956.0023837704688,554,5.38
62,results00_crossDoubleBridge_levy6.csv,P-n50-k8,899.3169100328599,649,6.99
63,results00_crossDoubleBridge_levy6.csv,P-n51-k10,1031.2635332343034,745,5.61
64,results00_crossDoubleBridge_levy6.csv,P-n55-k10,982.0708884172307,669,6.07
65,results00_crossDoubleBridge_levy6.csv,P-n55-k15,1226.1602028260615,856,7.41
66,results00_crossDoubleBridge_levy6.csv,P-n55-k7,997.2673047317693,524,5.5
67,results00_crossDoubleBridge_levy6.csv,P-n55-k8,968.4153632167928,576,5.16
68,results00_crossDoubleBridge_levy6.csv,P-n60-k10,1151.1577840178675,706,6.3
69,results00_crossDoubleBridge_levy6.csv,P-n60-k15,1405.3093897958404,905,6.8
70,results00_crossDoubleBridge_levy6.csv,P-n65-k10,1446.7655365861872,792,6.57
71,results00_crossDoubleBridge_levy6.csv,P-n70-k10,1330.672203418732,834,7.34
72,results00_crossDoubleBridge_levy6.csv,P-n76-k4,1819.74281170186,589,8.61
73,results00_crossDoubleBridge_levy6.csv,P-n76-k5,1139.05124746852,631,8.77
74,results00_crossTwoOpt_levy6.csv,A-n32-k5,1076.3103464708024,784,4.0
75,results00_crossTwoOpt_levy6.csv,A-n33-k5,1046.473921759403,661,3.27
76,results00_crossTwoOpt_levy6.csv,A-n33-k6,924.4856912541002,742,3.38
77,results00_crossTwoOpt_levy6.csv,A-n34-k5,1049.2886574372703,778,3.15
78,results00_crossTwoOpt_levy6.csv,A-n36-k5,1115.595449625448,799,3.4
79,results00_crossTwoOpt_levy6.csv,A-n37-k5,1071.0400553913955,669,3.48
80,results00_crossTwoOpt_levy6.csv,A-n37-k6,1167.1981418878818,949,3.93
81,results00_crossTwoOpt_levy6.csv,A-n38-k5,959.1950774949852,730,3.68
82,results00_crossTwoOpt_levy6.csv,A-n39-k5,1189.9078664050287,822,6.69
83,results00_crossTwoOpt_levy6.csv,A-n39-k6,1136.4951066779165,831,3.68
84,results00_crossTwoOpt_levy6.csv,A-n44-k6,1321.4914735514005,937,6.88
85,results00_crossTwoOpt_levy6.csv,A-n45-k6,1311.3805437045128,944,4.04
86,results00_crossTwoOpt_levy6.csv,A-n45-k7,1630.9606182099433,1146,3.53
87,results00_crossTwoOpt_levy6.csv,A-n46-k7,1271.4227171163955,914,4.19
88,results00_crossTwoOpt_levy6.csv,A-n48-k7,1476.1466900232754,1073,3.7
89,results00_crossTwoOpt_levy6.csv,A-n53-k7,1561.4534516849913,1010,6.5
90,results00_crossTwoOpt_levy6.csv,A-n54-k7,1613.4009771331953,1167,3.93
91,results00_crossTwoOpt_levy6.csv,A-n55-k9,1573.6432607260485,1073,4.22
92,results00_crossTwoOpt_levy6.csv,A-n60-k9,1909.166413471604,1408,3.95
93,results00_crossTwoOpt_levy6.csv,A-n61-k9,1452.1206734889927,1035,4.43
94,results00_crossTwoOpt_levy6.csv,A-n62-k8,1781.8484551075383,1290,3.94
95,results00_crossTwoOpt_levy6.csv,A-n63-k10,1944.1439915688056,1315,4.56
96,results00_crossTwoOpt_levy6.csv,A-n63-k9,2336.2137996684305,1634,4.23
97,results00_crossTwoOpt_levy6.csv,A-n64-k9,2087.218664829954,1402,4.18
98,results00_crossTwoOpt_levy6.csv,A-n65-k9,1828.358929024897,1177,4.34
99,results00_crossTwoOpt_levy6.csv,A-n69-k9,2100.375905798091,1168,4.19
100,results00_crossTwoOpt_levy6.csv,A-n80-k10,2637.2318395112593,1764,4.75
101,results00_crossTwoOpt_levy6.csv,B-n31-k5,728.7562982014447,672,3.71
102,results00_crossTwoOpt_levy6.csv,B-n34-k5,1161.7162963874232,788,3.09
103,results00_crossTwoOpt_levy6.csv,B-n35-k5,1292.0007466972475,955,3.51
104,results00_crossTwoOpt_levy6.csv,B-n38-k6,1045.1587995674056,805,3.39
105,results00_crossTwoOpt_levy6.csv,B-n39-k5,771.6678784232996,549,3.25
106,results00_crossTwoOpt_levy6.csv,B-n41-k6,1158.3072504089316,829,3.86
107,results00_crossTwoOpt_levy6.csv,B-n43-k6,916.6632610003026,742,3.52
108,results00_crossTwoOpt_levy6.csv,B-n44-k7,1229.8884450993346,909,5.4
109,results00_crossTwoOpt_levy6.csv,B-n45-k5,952.6570494524564,751,3.66
110,results00_crossTwoOpt_levy6.csv,B-n45-k6,878.4763147989711,678,3.78
111,results00_crossTwoOpt_levy6.csv,B-n50-k7,1206.8534042372905,741,3.93
112,results00_crossTwoOpt_levy6.csv,B-n50-k8,1654.94051221145,1313,5.74
113,results00_crossTwoOpt_levy6.csv,B-n51-k7,1480.2356027827682,1032,4.0
114,results00_crossTwoOpt_levy6.csv,B-n52-k7,995.8612334370877,747,3.98
115,results00_crossTwoOpt_levy6.csv,B-n56-k7,1149.7848058759175,707,3.85
